274.25,236.17,172.81,152.51,112.71,68.32,45.08,25.56,13.94,
0.76,0.92,1.44,1.72,2.63,4.57,6.35,8.49,10.19,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
272.91,233.62,181.06,157.46,90.73,45.52,14.39,,,
1.03,1.15,1.50,1.77,3.29,5.75,8.94,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
271.62,218.68,184.75,157.01,131.33,38.88,14.39,,,
1.23,1.41,1.64,1.96,2.39,6.41,8.94,,,
,,,,,,,,,
273.66,223.21,184.73,135.46,98.59,60.03,45.51,14.39,,
1.35,1.50,1.75,2.38,3.28,4.93,5.92,8.94,,
,,,,,,,,,
274.43,220.68,174.35,139.59,28.53,14.42,76.21,,,
1.60,1.77,2.08,2.46,6.71,8.06,3.97,,,
,,,,,,,,,
273.15,234.71,193.76,153.64,98.16,37.24,14.01,,,
1.81,1.91,2.13,2.46,3.42,6.03,8.02,,,
,,,,,,,,,
272.29,247.91,209.47,171.83,135.01,98.16,44.29,24.80,14.01,
2.03,2.03,2.12,2.33,2.72,3.42,5.57,6.97,8.02,
,,,,,,,,,
267.29,211.08,145.33,110.98,85.72,41.38,21.47,14.42,,
2.29,2.38,2.81,3.29,3.90,5.86,7.48,8.17,,
,,,,,,,,,
272.64,242.05,210.64,174.26,153.58,122.98,66.68,50.11,33.94,14.45
2.46,2.56,2.64,2.78,2.90,3.18,4.34,5.02,5.86,7.41
