,,,,,,,,,,,,,,,,,,,,
,5,15,25,35,45,55,65,75,85,95,105,115,125,135,145,155,170,190,220,270
,1.99,2.14,2.06,2.27,2.48,2.41,2.37,2.53,2.49,2.77,2.37,2.54,2.47,2.25,2.41,2.39,2.31,2.02,2.21,1.83
,0.09,0.08,0.07,0.07,0.08,0.07,0.07,0.08,0.09,0.11,0.10,0.12,0.13,0.13,0.15,0.17,0.14,0.15,0.16,0.20
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,2.08,2.18,2.22,2.53,2.42,2.55,2.49,2.65,2.63,2.37,2.47,2.29,2.40,2.38,2.28,2.44,2.20,2.20,2.05,1.97
,0.10,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.09,0.09,0.10,0.10,0.12,0.13,0.14,0.17,0.13,0.16,0.15,0.22
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,2.03,2.24,2.32,2.52,2.51,2.54,2.55,2.46,2.54,2.29,2.43,2.37,2.08,2.28,2.22,2.12,1.97,1.93,1.76,1.80
,0.10,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.10,0.11,0.10,0.13,0.13,0.14,0.11,0.14,0.13,0.19
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.87,1.85,2.13,2.34,2.26,2.46,2.53,2.53,2.57,2.67,2.47,2.76,2.84,2.64,2.76,2.80,2.89,2.92,2.73,2.83
,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.10,0.10,0.13,0.15,0.15,0.18,0.20,0.17,0.22,0.20,0.32
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.71,1.91,1.99,2.28,2.25,2.37,2.35,2.35,2.45,2.45,2.59,2.62,2.42,2.54,2.63,2.97,2.54,2.69,2.54,2.61
,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.09,0.11,0.12,0.12,0.14,0.16,0.21,0.15,0.19,0.18,0.28
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.97,2.20,2.19,2.32,2.43,2.48,2.48,2.60,2.46,2.45,2.57,2.52,2.76,2.54,2.47,2.48,2.55,2.47,2.32,3.05
,0.09,0.08,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.11,0.11,0.14,0.14,0.15,0.17,0.14,0.17,0.16,0.32
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.86,1.80,1.85,2.06,2.21,2.31,2.61,2.49,2.69,2.56,2.74,2.81,3.03,2.89,2.96,3.21,2.87,3.14,3.26,3.20
,0.08,0.06,0.06,0.06,0.06,0.07,0.08,0.08,0.10,0.10,0.12,0.13,0.16,0.17,0.19,0.23,0.17,0.23,0.24,0.34
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.74,1.89,1.92,2.07,2.25,2.40,2.45,2.47,2.63,2.49,2.57,2.60,2.88,2.74,2.70,2.59,3.35,2.88,3.84,3.31
,0.08,0.07,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.11,0.12,0.15,0.15,0.17,0.17,0.20,0.20,0.27,0.35
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.99,1.82,1.98,2.13,2.33,2.35,2.36,2.41,2.56,2.66,2.60,2.71,2.81,3.06,2.73,2.70,2.94,3.01,2.81,3.28
,0.10,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.10,0.10,0.12,0.14,0.17,0.16,0.18,0.16,0.21,0.19,0.33
